Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
60	09:39:58	09:39:58	09:39:58	09:39:58	09:39:58	09:39:58	09:39:59	09:39:59	09:39:59	09:39:59	09:40:01	09:40:01	09:40:01	09:40:01	09:40:01	09:40:01	09:40:01	09:40:01	09:40:04	09:40:04		00:00:00	00:00:00	00:00:00	00:00:00	00:00:02	00:00:00	00:00:00	00:00:00	00:00:02	00:00:05
61	09:40:04	09:40:04	09:40:04	09:40:04	09:40:04	09:40:04			09:40:04	09:40:04	09:40:06	09:40:06	09:40:06	09:40:06	09:40:06	09:40:06			09:40:07	09:40:07		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
62	09:40:07	09:40:07	09:40:07	09:40:07	09:40:07	09:40:07			09:40:07	09:40:07	09:40:10	09:40:10	09:40:10	09:40:10	09:40:10	09:40:10			09:40:11	09:40:11		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
63	09:40:11	09:40:11	09:40:11	09:40:11	09:40:11	09:40:11			09:40:11	09:40:11	09:40:14	09:40:14	09:40:14	09:40:14	09:40:14	09:40:14			09:40:14	09:40:14		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
64	09:40:14	09:40:14	09:40:14	09:40:14	09:40:14	09:40:14			09:40:14	09:40:14	09:40:17	09:40:17	09:40:17	09:40:17	09:40:17	09:40:17			09:40:18	09:40:18		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
65	09:40:18	09:40:18	09:40:18	09:40:18	09:40:18	09:40:18			09:40:18	09:40:18	09:40:21	09:40:21	09:40:21	09:40:21	09:40:21	09:40:21			09:40:21	09:40:21		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
66	09:40:21	09:40:21	09:40:21	09:40:21	09:40:22	09:40:22			09:40:22	09:40:22	09:40:25	09:40:25	09:40:25	09:40:25	09:40:25	09:40:25			09:40:26	09:40:26		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:01	00:00:04
67	09:40:26	09:40:26	09:40:26	09:40:26	09:40:26	09:40:26			09:40:26	09:40:26	09:40:29	09:40:29	09:40:29	09:40:29	09:40:29	09:40:29			09:40:29	09:40:29		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
68	09:40:30	09:40:30	09:40:30	09:40:30	09:40:30	09:40:30			09:40:30	09:40:30	09:40:33	09:40:33	09:40:33	09:40:33	09:40:33	09:40:33			09:40:33	09:40:33		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
69	09:40:33	09:40:33	09:40:33	09:40:33	09:40:34	09:40:34			09:40:34	09:40:34	09:40:36	09:40:36	09:40:36	09:40:36	09:40:36	09:40:36			09:40:37	09:40:37		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
