Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
46	12:22:54	12:22:54	12:22:54	12:22:54	12:22:54	12:22:54			12:22:54	12:22:54	12:22:55	12:22:55	12:22:55	12:22:55	12:22:55	12:22:55			12:22:56	12:22:56		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
47	12:22:56	12:22:56	12:22:56	12:22:56	12:22:56	12:22:56			12:22:56	12:22:56	12:22:57	12:22:57	12:22:57	12:22:57	12:22:57	12:22:57			12:22:57	12:22:57		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
48	12:22:58	12:22:58	12:22:58	12:22:58	12:22:58	12:22:58			12:22:58	12:22:58	12:22:58	12:22:58	12:22:58	12:22:58	12:22:58	12:22:58			12:22:59	12:22:59		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:01	00:00:01
49	12:23:00	12:23:00	12:23:00	12:23:00	12:23:00	12:23:00			12:23:00	12:23:00	12:23:01	12:23:01	12:23:01	12:23:01	12:23:01	12:23:01			12:23:01	12:23:01		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
50	12:23:01	12:23:01	12:23:01	12:23:01	12:23:01	12:23:01	12:23:01	12:23:02	12:23:02	12:23:02	12:23:02	12:23:02	12:23:02	12:23:02	12:23:02	12:23:02	12:23:02	12:23:03	12:23:05	12:23:05		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:02	00:00:03
51	12:23:05	12:23:05	12:23:05	12:23:05	12:23:05	12:23:05			12:23:05	12:23:05	12:23:06	12:23:06	12:23:06	12:23:06	12:23:06	12:23:06			12:23:07	12:23:07		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
52	12:23:07	12:23:07	12:23:07	12:23:07	12:23:07	12:23:07			12:23:07	12:23:07	12:23:07	12:23:07	12:23:07	12:23:07	12:23:07	12:23:07			12:23:08	12:23:08		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
53	12:23:08	12:23:08	12:23:08	12:23:08	12:23:08	12:23:08			12:23:08	12:23:08	12:23:09	12:23:09	12:23:09	12:23:09	12:23:09	12:23:09			12:23:10	12:23:10		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
54	12:23:10	12:23:10	12:23:10	12:23:10	12:23:10	12:23:10			12:23:10	12:23:10	12:23:11	12:23:11	12:23:11	12:23:11	12:23:11	12:23:11			12:23:11	12:23:11		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
55	12:23:11	12:23:11	12:23:11	12:23:11	12:23:12	12:23:12			12:23:12	12:23:12	12:23:13	12:23:13	12:23:13	12:23:13	12:23:13	12:23:13			12:23:14	12:23:14		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
56	12:23:14	12:23:14	12:23:14	12:23:14	12:23:14	12:23:14			12:23:14	12:23:14	12:23:15	12:23:15	12:23:15	12:23:15	12:23:15	12:23:15			12:23:15	12:23:15		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
57	12:23:15	12:23:15	12:23:15	12:23:15	12:23:15	12:23:15			12:23:15	12:23:15	12:23:16	12:23:16	12:23:16	12:23:16	12:23:16	12:23:16			12:23:17	12:23:17		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
58	12:23:17	12:23:17	12:23:17	12:23:17	12:23:17	12:23:17			12:23:17	12:23:17	12:23:18	12:23:18	12:23:18	12:23:18	12:23:18	12:23:18			12:23:19	12:23:19		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
59	12:23:19	12:23:19	12:23:19	12:23:19	12:23:19	12:23:19			12:23:19	12:23:19	12:23:20	12:23:20	12:23:20	12:23:20	12:23:20	12:23:20			12:23:20	12:23:20		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
60	12:23:20	12:23:20	12:23:20	12:23:20	12:23:20	12:23:20	12:23:20	12:23:21	12:23:21	12:23:21	12:23:22	12:23:22	12:23:22	12:23:22	12:23:22	12:23:22	12:23:22	12:23:22	12:23:24	12:23:24		00:00:00	00:00:00	00:00:00	00:00:00	00:00:01	00:00:00	00:00:00	00:00:00	00:00:02	00:00:03
61	12:23:24	12:23:24	12:23:24	12:23:24	12:23:24	12:23:24			12:23:24	12:23:24	12:23:25	12:23:25	12:23:25	12:23:25	12:23:25	12:23:25			12:23:26	12:23:26		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
62	12:23:26	12:23:26	12:23:26	12:23:26	12:23:26	12:23:26			12:23:26	12:23:26	12:23:27	12:23:27	12:23:27	12:23:27	12:23:27	12:23:27			12:23:27	12:23:27		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
63	12:23:27	12:23:27	12:23:27	12:23:27	12:23:28	12:23:28			12:23:28	12:23:28	12:23:28	12:23:28	12:23:28	12:23:28	12:23:28	12:23:28			12:23:29	12:23:29		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
64	12:23:29	12:23:29	12:23:29	12:23:29	12:23:29	12:23:29			12:23:29	12:23:29	12:23:30	12:23:30	12:23:30	12:23:30	12:23:30	12:23:30			12:23:31	12:23:31		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
65	12:23:31	12:23:31	12:23:31	12:23:31	12:23:31	12:23:31			12:23:31	12:23:31	12:23:32	12:23:32	12:23:32	12:23:32	12:23:32	12:23:32			12:23:33	12:23:33		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
66	12:23:33	12:23:33	12:23:33	12:23:33	12:23:33	12:23:33			12:23:33	12:23:33	12:23:34	12:23:34	12:23:34	12:23:34	12:23:34	12:23:34			12:23:35	12:23:35		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:01	00:00:02
67	12:23:35	12:23:35	12:23:35	12:23:35	12:23:35	12:23:35			12:23:36	12:23:36	12:23:36	12:23:36	12:23:36	12:23:36	12:23:36	12:23:36			12:23:37	12:23:37		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
68	12:23:37	12:23:37	12:23:37	12:23:37	12:23:37	12:23:37			12:23:37	12:23:37	12:23:38	12:23:38	12:23:38	12:23:38	12:23:38	12:23:38			12:23:39	12:23:39		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
